@timestamp,system.auth.ssh.event,system.auth.ssh.method,user.name,source.ip,source.geo.country_iso_code
"Jul 24, 2023 @ 18:53:03.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 18:52:59.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 18:52:54.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 18:52:51.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 18:52:48.000",Failed,password,root,61.177.172.136,CN
"Jul 24, 2023 @ 18:52:09.000",Failed,password,root,218.92.0.24,CN
"Jul 24, 2023 @ 18:52:07.000",Failed,password,root,218.92.0.24,CN
"Jul 24, 2023 @ 18:52:02.000",Failed,password,root,218.92.0.24,CN
"Jul 24, 2023 @ 18:51:58.000",Failed,password,root,218.92.0.24,CN
"Jul 24, 2023 @ 18:51:55.000",Failed,password,root,218.92.0.24,CN
"Jul 24, 2023 @ 18:48:55.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:48:45.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:48:42.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:48:38.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:43:37.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:43:34.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:43:29.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:43:26.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:43:22.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:36:53.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:36:50.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:36:46.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:36:36.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:36:32.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:36:28.000",Failed,password,root,218.92.0.108,CN
"Jul 24, 2023 @ 18:29:07.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 18:29:03.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 18:28:55.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 18:28:52.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 18:28:49.000",Failed,password,root,218.92.0.22,CN
"Jul 24, 2023 @ 18:26:35.000",Failed,password, pi,151.61.74.107,IT
"Jul 24, 2023 @ 18:26:35.000",Failed,password, pi,151.61.74.107,IT
"Jul 24, 2023 @ 18:26:32.000",Invalid,-,pi,151.61.74.107,IT
"Jul 24, 2023 @ 18:26:32.000",Invalid,-,pi,151.61.74.107,IT
"Jul 24, 2023 @ 18:26:28.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:26:25.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:26:23.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:26:15.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:26:12.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:26:09.000",Failed,password,root,218.92.0.29,CN
"Jul 24, 2023 @ 18:21:40.000",Failed,password,root,218.92.0.113,CN
"Jul 24, 2023 @ 18:21:37.000",Failed,password,root,218.92.0.113,CN
"Jul 24, 2023 @ 18:21:33.000",Failed,password,root,218.92.0.113,CN
"Jul 24, 2023 @ 18:21:29.000",Failed,password,root,218.92.0.113,CN
"Jul 24, 2023 @ 18:21:26.000",Failed,password,root,218.92.0.113,CN
"Jul 24, 2023 @ 18:14:15.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:14:11.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:14:06.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:14:03.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:13:59.000",Failed,password,root,61.177.172.160,CN
"Jul 24, 2023 @ 18:13:56.000",Failed,password, admin,107.179.43.178,US
"Jul 24, 2023 @ 18:13:54.000",Invalid,-,admin,107.179.43.178,US
"Jul 24, 2023 @ 18:13:52.000",Failed,password, craft,107.179.43.178,US
"Jul 24, 2023 @ 18:13:50.000",Invalid,-,craft,107.179.43.178,US
"Jul 24, 2023 @ 18:13:48.000",Failed,password,root,107.179.43.178,US
"Jul 24, 2023 @ 18:12:51.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 18:12:48.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 18:12:41.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 18:12:37.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 18:12:33.000",Failed,password,root,218.92.0.112,CN
"Jul 24, 2023 @ 17:52:31.000",Failed,password,root,221.150.169.127,KR
"Jul 24, 2023 @ 17:52:28.000",Failed,password,root,221.150.169.127,KR
"Jul 24, 2023 @ 17:52:24.000",Failed,password,root,221.150.169.127,KR
